영화코드,누적관객수,영화이름
20196309,6685160,스파이더맨: 파 프롬 홈
20183867,10161238,알라딘
20184047,3151062,토이 스토리 4
20185353,220182,기방도령
20183782,9919835,기생충
20185986,106756,진범
20191601,101245,극장판 엉덩이 탐정: 화려한 사건 수첩
20199951,459037,애나벨 집으로
20196655,913066,존 윅 3: 파라벨룸
20192151,45707,미드소마
20198453,1076588,롱 리브 더 킹: 목포 영웅
20190273,228365,천로역정: 천국을 찾아서
20182585,199009,비스트
20192591,25000,BIFAN2019 판타스틱 단편 걸작선 1
20192022,37437,마담 싸이코
20196657,843649,맨 인 블랙: 인터내셔널
20190885,46546,사탄의 인형
20182387,860921,엑스맨: 다크 피닉스
20190466,31379,세상을 바꾼 변호인
19880001,142372,이웃집 토토로
20191401,30244,업사이드
20198291,98703,로켓맨
20184889,13887813,어벤져스: 엔드게임
